ID,SpellID,Field_3_4_0_43659_001,Field_3_4_0_43659_002,SpellIconFileDataID,GlyphSlotFlags
161,54810,0,0,237636,0
162,54811,0,0,237635,0
163,54812,0,0,237651,0
164,54813,2,0,237646,0
165,54815,2,0,237652,0
166,54818,2,0,237633,0
167,54821,0,0,237650,0
168,54824,2,0,237645,0
169,54832,0,0,237644,0
170,54733,0,0,237649,0
171,54743,2,0,237634,0
172,54754,2,0,237647,0
173,54825,0,0,237641,0
174,54826,2,0,237642,0
175,54845,2,0,237639,0
176,54830,2,0,237643,0
177,54831,0,0,237640,0
178,54828,0,0,237638,0
179,54756,2,0,237648,0
180,54829,2,0,237632,0
181,54760,0,0,237637,0
183,54922,2,0,237650,0
184,54925,0,0,237644,0
185,54923,0,0,237633,0
186,54924,0,0,237637,0
187,54926,0,0,237639,0
188,54927,2,0,237632,0
189,54928,0,0,237641,0
190,89401,1,0,237640,0
191,54930,0,0,237647,0
192,54931,0,0,237651,0
193,54934,2,0,237643,0
194,54935,0,0,237648,0
195,54936,2,0,237649,0
196,54937,2,0,237652,0
197,54938,0,0,237635,0
198,54939,0,0,237636,0
199,54940,0,0,237646,0
200,54943,2,0,237645,0
211,55436,2,0,237639,0
212,55437,0,0,237640,0
213,55449,0,0,237636,0
214,55454,2,0,237638,0
215,55442,2,0,237646,0
216,55439,2,0,237652,0
217,55455,2,0,237642,0
218,55450,0,0,237635,0
219,55447,2,0,237647,0
220,55451,2,0,237637,0
221,55443,0,0,237643,0
222,55456,0,0,237649,0
223,55440,0,0,237651,0
224,55438,0,0,237633,0
225,55448,0,0,237648,0
226,55453,2,0,237641,0
227,55441,0,0,237644,0
228,55446,2,0,237645,0
229,55444,2,0,237632,0
230,55452,0,0,237634,0
231,55445,2,0,237650,0
251,55675,0,0,237634,0
252,55677,0,0,237633,0
253,55684,0,0,237635,0
254,55678,0,0,237639,0
255,55679,2,0,237637,0
256,55683,0,0,237652,0
257,55686,0,0,237641,0
258,55673,2,0,237651,0
259,55691,0,0,237642,0
260,55688,0,0,237644,0
261,55681,2,0,237650,0
262,55689,2,0,237636,0
263,55672,2,0,237647,0
264,55680,2,0,237645,0
265,55676,0,0,237648,0
266,55674,2,0,237632,0
267,55690,0,0,237640,0
268,55682,2,0,237638,0
269,55687,2,0,237643,0
270,55692,0,0,237649,0
271,55685,0,0,237646,0
272,56242,2,0,237650,0
273,56235,2,0,237644,0
274,56218,2,0,237647,0
275,56241,2,0,237646,0
276,56232,0,0,237634,0
277,56244,0,0,237637,0
278,56246,2,0,237638,0
279,56249,0,0,237636,0
280,56238,1,0,237635,0
281,56224,0,0,237648,0
282,56217,0,0,237645,0
283,56228,2,0,237651,0
284,56248,2,0,237641,0
285,56226,0,0,237649,0
286,56240,0,0,237632,0
287,56229,2,0,237639,0
289,56231,0,0,237633,0
290,56250,0,0,237652,0
291,56233,2,0,237642,0
292,56247,0,0,237643,0
312,56363,2,0,237637,0
313,56381,0,0,237650,0
314,56365,0,0,237641,0
315,56380,0,0,237632,0
316,56368,2,0,237651,0
318,56376,0,0,237647,0
319,56370,2,0,237634,0
320,56384,2,0,237648,0
321,56372,0,0,237633,0
322,56377,2,0,237644,0
323,56374,0,0,237643,0
325,56366,0,0,237645,0
326,56383,2,0,237652,0
328,56382,2,0,237640,0
329,56375,0,0,237638,0
330,56364,2,0,237642,0
331,56373,0,0,237636,0
351,56824,2,0,237647,0
352,56841,2,0,237648,0
353,56857,0,0,237635,0
354,56833,0,0,237637,0
355,56851,0,0,237641,0
356,56830,0,0,237632,0
357,56850,0,0,237643,0
358,56844,0,0,237649,0
359,56845,0,0,237633,0
360,56847,0,0,237639,0
361,56829,0,0,237652,0
362,56846,0,0,237650,0
363,56856,2,0,237636,0
364,56836,0,0,237640,0
365,56828,2,0,237644,0
366,56832,2,0,237645,0
367,56849,0,0,237646,0
368,56826,2,0,237651,0
369,56842,2,0,237634,0
371,56848,0,0,237642,0
391,56808,2,0,237634,0
392,56813,0,0,237650,0
393,56800,2,0,237647,0
394,56818,0,0,237645,0
395,56820,0,0,237636,0
396,56806,0,0,237638,0
397,56799,0,0,237648,0
398,56802,2,0,237635,0
399,56803,0,0,237637,0
400,56804,0,0,237652,0
401,56812,0,0,237641,0
402,56814,2,0,237640,0
403,56809,0,0,237632,0
404,56807,2,0,237646,0
405,56819,0,0,237651,0
406,56801,2,0,237644,0
407,56798,0,0,237643,0
409,56821,2,0,237649,0
410,56810,2,0,237633,0
411,56811,0,0,237639,0
431,57856,1,0,237645,1
432,57858,1,0,237641,1
433,57855,1,0,237635,1
434,57857,1,0,237650,1
435,57862,0,0,237632,1
439,57866,1,0,237641,1
440,57870,1,0,237636,1
441,57903,1,0,237642,1
442,57902,1,0,237642,1
443,57904,1,0,237646,1
445,57924,1,0,237652,1
447,57927,1,0,237637,1
448,57928,1,0,237633,1
449,58136,1,0,237638,1
450,52648,1,0,237639,1
451,57925,1,0,237644,1
452,57937,1,0,237646,1
453,57958,1,0,237643,1
454,57979,1,0,237645,1
455,57955,0,0,237634,1
456,57947,1,0,237651,1
457,57954,1,0,237632,1
458,57985,1,0,237651,1
459,57987,1,0,237645,1
460,58009,1,0,237640,1
461,57986,1,0,237633,1
462,58015,1,0,237652,1
463,58228,1,0,237641,1
464,58032,1,0,237635,1
465,58027,1,0,237649,1
466,58017,1,0,237637,1
467,58033,1,0,237647,1
468,58039,1,0,237652,1
469,58038,1,0,237638,1
470,58058,1,0,237640,1
471,58135,1,0,237648,1
473,58059,1,0,237644,1
474,89646,1,0,237639,1
476,58057,1,0,237643,1
477,58079,1,0,237648,1
478,58070,1,0,237649,1
479,58081,1,0,237636,1
480,58080,1,0,237637,1
481,58107,1,0,237648,1
482,58094,1,0,237640,1
483,58095,1,0,237632,1
484,58096,1,0,237646,1
485,58097,0,0,237647,1
486,58099,1,0,237648,1
487,58098,0,0,237643,1
488,58104,1,0,237639,1
489,58368,2,0,237640,0
490,58369,1,0,237636,0
491,58355,0,0,237647,0
492,58366,0,0,237633,0
493,58388,2,0,237646,0
494,58367,2,0,237639,0
495,58372,0,0,237637,0
496,58357,0,0,237648,0
497,58377,0,0,237651,0
499,58386,2,0,237632,0
500,58385,2,0,237635,0
501,58364,2,0,237643,0
502,58375,2,0,237644,0
504,58387,0,0,237641,0
505,58384,0,0,237652,0
507,58356,0,0,237642,0
508,58382,0,0,237645,0
509,58370,2,0,237650,0
512,58623,0,0,237642,0
513,58616,2,0,237636,0
514,58640,1,0,237636,1
515,58673,0,0,237647,0
516,58620,0,0,237640,0
518,58677,1,0,237651,1
519,62259,0,0,237648,0
520,58629,2,0,237645,0
521,58647,2,0,237635,0
522,58680,1,0,237638,1
524,58631,2,0,237637,0
525,58671,2,0,237646,0
526,58657,0,0,237641,0
527,58686,2,0,237645,0
528,58669,2,0,237638,0
529,58642,2,0,237632,0
530,58618,0,0,237644,0
531,58635,0,0,237643,0
532,58676,0,0,237649,0
551,59219,1,0,237633,1
552,59289,0,0,237634,1
553,59309,1,0,237635,1
554,59307,1,0,237650,1
555,60200,1,0,237649,1
556,59327,0,0,237633,0
557,59332,0,0,237639,0
558,59336,2,0,237650,0
559,56420,0,0,237634,0
560,56414,0,0,237642,0
